Round,Team,AveragePitStop
15,Racing Bulls,2.102
15,McLaren,2.125
15,Mercedes,2.13
15,Aston Martin,2.137
15,Kick Sauber,2.141
15,Williams,2.143
15,Haas F1 Team,2.1510000000000002
15,Alpine,2.183
15,Red Bull Racing,2.186
16,Alpine,2.423
16,McLaren,2.4379999999999997
16,Ferrari,2.443
16,Aston Martin,2.476
16,Williams,2.497
16,Red Bull Racing,2.528
16,Kick Sauber,2.577
16,Mercedes,2.69
16,Racing Bulls,3.032
16,Haas F1 Team,3.371
17,McLaren,1.9949999999999999
17,Kick Sauber,2.028
17,Williams,2.044
17,Alpine,2.045
17,Aston Martin,2.0469999999999997
17,Mercedes,2.0620000000000003
17,Red Bull Racing,2.0829999999999997
17,Ferrari,2.1079999999999997
17,Haas F1 Team,2.145
17,Racing Bulls,2.145
18,Mercedes,2.9010000000000002
18,McLaren,2.912
18,Ferrari,2.9210000000000003
18,Red Bull Racing,2.932
18,Williams,2.945
18,Aston Martin,2.9530000000000003
18,Racing Bulls,2.967
18,Kick Sauber,2.989
18,Haas F1 Team,3.027
18,Alpine,3.056
19,Ferrari,2.3890000000000002
19,Red Bull Racing,2.3899999999999997
19,McLaren,2.3920000000000003
19,Racing Bulls,2.402
19,Haas F1 Team,2.418
19,Kick Sauber,2.459
19,Aston Martin,2.532
19,Alpine,2.619
19,Williams,2.778
19,Mercedes,2.933
20,McLaren,2.197
20,Mercedes,2.25
20,Aston Martin,2.259
20,Ferrari,2.2600000000000002
20,Kick Sauber,2.272
20,Haas F1 Team,2.32
20,Alpine,2.322
20,Williams,2.3899999999999997
20,Racing Bulls,2.644
20,Red Bull Racing,2.8890000000000002
21,Williams,2.5260000000000002
21,Haas F1 Team,3.717
21,Kick Sauber,44.516000000000005
21,Ferrari,49.025
21,Red Bull Racing,71.8
21,McLaren,72.161
21,Mercedes,72.311
21,Racing Bulls,72.384
21,Aston Martin,72.399
21,Alpine,140.81400000000002
22,Alpine,1.97
22,Ferrari,2.109
22,Racing Bulls,2.114
22,Mercedes,2.116
22,Red Bull Racing,2.1420000000000003
22,Williams,2.147
22,Haas F1 Team,2.174
22,Kick Sauber,2.229
22,McLaren,2.2670000000000003
22,Aston Martin,2.482
23,Red Bull Racing,2.574
23,Alpine,2.575
23,McLaren,2.6079999999999997
23,Mercedes,2.8850000000000002
23,Kick Sauber,2.903
23,Williams,2.918
23,Haas F1 Team,2.995
23,Ferrari,3.009
23,Aston Martin,3.336
23,Racing Bulls,3.7039999999999997
